exam,official_cutoff_url,verified,note
All India Veterinary Entrance Test,https://vci.admissions.nic.in/,True,"Veterinary Council of India admission & eCounselling portal (NIC-hosted). AIPVT is scrapped; veterinary admission now via NEET-UG through this VCI portal, which publishes round-wise allotment results "
Armed Forces Medical College Entrance Examination,https://afmc.nic.in/MBBSAdmission,True,Official AFMC Pune MBBS Admission page (HTTP 200 via curl; afmc.nic.in serves a self-signed TLS chain so browser fetch warns). AFMC MBBS merit list/shortlist PDFs are published here based on NEET-UG. 
Arunachal Pradesh Polytechnic Entrance Examination,https://apdhte.nic.in/JEE/JEE_25/Result_APJEE_Diploma_2025.pdf,True,Official APJEE 2025 Diploma (Mathematics & Science) result/merit list PDF from Arunachal Pradesh State Council for Technical Education (Directorate of Higher & Technical Education). Downloaded and par
Aryabhatta Knowledge University Entrance Examination,https://akubihar.ac.in/,True,"Official Aryabhatta Knowledge University, Patna site (HTTP 302 -> /EN/Default.aspx, an ASP.NET portal). Results/merit lists are published per program on result.akubihar.ac.in; no single static public "
Assam Agriculture Entrance Examination,https://www.aau.ac.in/admission,True,Official Assam Agricultural University admission page (HTTP 200; the prior aau.ac.in/admission.html returns 404). Links to the live counselling/admission portal admission.aau.ac.in and /results where 
Assam Polytechnic Entrance Examination,https://dte-assamadm.samarth.ac.in/,True,"Official DTE Assam (Govt of Assam) Samarth counselling & admission portal for 3-year Diploma in Govt Polytechnics, session 2026-27 (HTTP 200). PAT exam scrapped; merit based on HSLC marks; allotment g"
AVEE - Assam Veterinary Entrance Examination,https://www.aau.ac.in/admission,True,The listed vetbifg.ac.in link is dead (connection refused). AVEE/AAU-VET is conducted by Assam Agricultural University for B.V.Sc&AH admission at College of Veterinary Science Khanapara & Lakhimpur; m
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,True,Official NCHMCT admission & eCounselling portal (NTA NCHM JEE). Fetched OK: shows seat-allotment results and an OR-CR (opening/closing rank) eService for B.Sc. HHA / M.Sc. HA. This is the authoritativ
Bachelor of Science in Nautical Science Admission,https://www.imu.edu.in/imunew/,False,Indian Maritime University (IMU CET) admissions hub. IMU publishes IMU CET opening/closing ranks (OR-CR) per counselling round here via the 'IMU CET Cut-Off' link. Could not be machine-verified by the
Bharati Vidyapeeth Common Entrance Test,https://bvducet.bharatividyapeeth.edu/,True,Official Bharati Vidyapeeth Deemed University CET portal (BVP CET). Fetched OK: registration/exam platform that carries a 'CET Results' link and 'Admission and Counselling Updates'. The merit list (ra
Birla Institute of Technology Mesra Entrance Examination,https://www.bitmesra.ac.in/admission/1/department/11,True,"Replaced the batch URL (bitmesra.ac.in/Show_Brochure_Details/Admission_Criteria) which returns HTTP 404. This is the working official BIT Mesra admission hub (Dean of Admissions page, 'Current Admissi"
Central Sanskrit University Entrance Examination – Sanskrit Studies,https://www.sanskrit.nic.in/admissions_notifications.php,False,"Official Central Sanskrit University admissions-notifications page (replaces the batch's admission.php, which is a wrong/singular path; correct hub is admissions.php / admissions_notifications.php). C"
Chandigarh Polytechnic Entrance,https://chdpolyadmissions.nic.in/,False,Official Chandigarh polytechnic (diploma) admissions/counselling NIC portal. Currently unreachable (connection refused on both https and http) — these NIC counselling portals are seasonal and go offli
Chennai Mathematical Institute Entrance Examination,https://www.cmi.ac.in/admissions/,True,Official CMI admissions page. Fetched OK: links to 'Entrance Examination Results 2026' and detailed exam-paper solutions. CMI does NOT publish public cutoffs/scorecards — selection results are communi
Chhattisgarh Agriculture Entrance Examination,https://vyapam.cgstate.gov.in/,False,CG Vyapam (Chhattisgarh Professional Examination Board) is the official body that conducts CG PAT and publishes its result and combined merit list; agriculture-stream counselling/seat allotment is run
Chhattisgarh Pre Pharmacy and Health Sciences Test,https://cgdte.admissions.nic.in/,False,"Replaced the prior cgdme.admissions.nic.in URL, which is the Directorate of Medical Education portal (MBBS/BDS/MDS/BPT only, verified - no pharmacy). CG PPHT pharmacy (B.Pharm/D.Pharm) counselling, me"
College of Art Chandigarh Entrance Examination,https://gcart.edu.in/,True,"Official Government College of Art, Chandigarh site (verified). Publishes admission merit lists for its aptitude-test/portfolio admissions - BFA/DFASA merit list (merit-list.php), MFA/ADFASA discrepan"
Craft Instructor Training Scheme Admission,https://nimionlineadmission.in/,True,"Official NIMI / DGT (Ministry of Skill Development & Entrepreneurship) CITS online admission portal (verified). Publishes AICET results, trade-wise merit list, qualifying cutoff marks and Round-wise s"
Dadra & Nagar Haveli Polytechnic Entrance,https://dhtednhdd.in/merit-list.html,True,Replaced the generic daman.nic.in/education/ URL. This is the official Dept. of Higher & Technical Education (UT of DNH & DD) merit-list page (verified) for Govt. Polytechnic diploma-engineering admis
DAIICT Entrance Test,https://www.daiict.ac.in/undergraduate-admissions-all-india-category,True,"Official Dhirubhai Ambani University (formerly DA-IICT) B.Tech All-India-category admissions page (verified). Admission is merit-based on JEE Main All India Rank; the page lists eligibility, the six B"
Defence Institute of Advanced Technology Entrance Examination,https://www.diat.ac.in/admission,True,"Official DIAT, Pune admission homepage (verified). Gateway to Admission Notifications, Forms & Downloads, and programme pages (M.Tech via GATE, M.Sc., Ph.D.); shortlists/merit are posted as notificati"
Delhi College of Art Entrance Examination,https://colart.delhi.gov.in/notifications,True,"College of Art (Univ. of Delhi), colart.delhi.gov.in. The provided /admissions URL is dead (404). The notifications page (verified) is where the official entrance/practical-test merit & eligible-candi"
English and Foreign Languages University Entrance Examination – Pashto and Persian,https://www.efluniversity.ac.in/,True,EFLU Hyderabad. The provided /admissions2025 URL is dead (404). UG admission (incl. BA Pashto/Persian) is now entirely CUET-UG based with no separate EFLU UG entrance; merit lists are published via th
Goa Common Entrance Test,https://dte.goa.gov.in/admission/degree-admission-lists,True,DTE Goa. GCET as an exam has been discontinued (2025+ B.E. admission is JEE Main-based). The current authoritative documents are the 'MERIT LIST - B.E.' and 'Eligibility List - B.E.' PDFs (2026) on th
Goa Common Entrance Test – Engineering,https://dte.goa.gov.in/admission/degree-admission-lists,True,DTE Goa engineering (B.E.) admissions. Verified page hosts 'MERIT LIST - B.E.' (2026-06-18) and 'Eligibility List - B.E.' (2026-06-08) PDFs. GCET engineering exam discontinued; B.E. merit now JEE Main
Goa Polytechnic Entrance Examination,https://dte.goa.gov.in/admission/diploma-admission-lists,True,"DTE Goa diploma/polytechnic admissions. Verified page hosts 'MERIT LIST - FIRST YEAR AND SECOND YEAR DIPLOMA COURSES' (2026-05-27, 12 MB) and 'DIPLOMA ELIGIBILITY LIST' (2026-05-22) PDFs. Diploma meri"
Gujarat Common Entrance Test – Polytechnic,https://gujdiploma.admissions.nic.in/,True,"Official ACPDC (Admission Committee for Professional Diploma Courses), Gujarat NIC e-counselling portal for diploma/polytechnic admissions (verified). The provided acpdc.gujarat.gov.in/meritlist.aspx "
Haryana Agriculture Entrance Examination,https://admissions.hau.ac.in/,True,"CCS Haryana Agricultural University (CCSHAU) online pre-admission portal (verified, 'CCSHAU :: ONLINE PRE-ADMISSION'). Admission via CCSHAU CET; merit lists are published per round but are accessed be"
